date,open,close,high,low,volume,amount
2020-09-02,6725.6913,6717.5579,6742.5527,6647.0341,14956254800,160818469798.5000
2020-09-03,6715.1042,6662.2515,6732.6741,6638.4482,14211033500,151591727849.6000
2020-09-04,6545.8880,6618.5762,6631.0289,6538.4896,12535846200,132077386325.3000
2020-09-07,6619.8982,6478.8124,6669.3935,6459.1029,15558174800,167216213932.1000
2020-09-08,6493.7737,6525.0980,6542.9954,6432.9520,16123031800,148148725286.0000
2020-09-09,6455.3053,6349.2234,6471.4824,6319.2713,21691635100,176688524174.1000
2020-09-10,6404.6646,6235.5687,6414.9623,6219.6361,18104949700,149335340844.4000
2020-09-11,6209.7881,6311.9670,6319.6691,6209.7881,12462919400,115690880160.5000
2020-09-14,6350.3551,6351.2422,6381.1820,6297.9023,13050227700,129303970062.7000
2020-09-15,6351.0366,6387.8805,6388.1304,6328.5366,11518415400,117077083505.1000
2020-09-16,6379.5178,6353.8360,6387.7666,6321.5668,11337988700,112504425528.5000
2020-09-17,6345.6715,6367.0206,6416.0088,6291.6343,11895968100,123682498362.9000
2020-09-18,6367.7923,6469.4692,6473.5997,6353.5609,13522626400,136788919948.0000
2020-09-21,6492.2249,6445.9649,6515.3370,6434.3239,12602372100,133640323489.2000
2020-09-22,6392.0250,6358.6520,6462.9751,6341.4838,12130589400,122989741811.9000
2020-09-23,6382.2813,6392.0329,6411.2048,6356.1636,9504883300,106027143367.8000
2020-09-24,6353.6940,6244.6389,6354.6827,6243.2820,11280146700,112624608424.9000
2020-09-25,6271.7008,6236.8904,6285.4717,6206.1823,8779878800,92989168390.0000
2020-09-28,6255.0210,6178.4693,6261.9304,6171.0200,7896291500,87526269792.6000
2020-09-29,6206.9908,6228.7708,6280.4433,6179.8807,8137116400,91783259881.9000
2020-09-30,6245.1158,6192.5045,6260.1234,6155.0208,8148409300,89615460415.2000
2020-10-09,6300.0703,6357.9711,6373.9367,6290.4705,10038623100,115149926305.0000
2020-10-12,6408.0827,6541.1760,6541.3102,6399.6833,14482434900,160960006150.6000
2020-10-13,6538.8354,6551.3987,6557.8635,6486.3088,11155845000,130283812098.8000
2020-10-14,6547.8376,6508.3743,6547.8376,6492.6581,11862960400,133539992970.6000
2020-10-15,6511.0707,6460.0408,6518.5503,6456.7714,10700425200,115595908996.0000
2020-10-16,6456.7375,6428.6822,6473.6343,6388.6459,9873202200,109046534531.3000
2020-10-19,6466.5660,6358.3213,6483.5079,6346.2632,10366836300,114682882325.0000
2020-10-20,6349.6437,6423.1128,6423.1573,6324.3889,8618922400,95327322735.8000
